
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : P PERSISTENT METHOD ########
-----------------------------------------------------------------------------

28/10/2021 11:46:32 SENDER-1 starts sending data to RECEIVER1

28/10/2021 11:46:32 CHANNEL has been initialised

28/10/2021 11:46:32 SENDER-2 starts sending data to RECEIVER2
28/10/2021 11:46:45 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:45 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:45 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:45 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:45 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:45 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:45 SENDER-2    ||  WAITING
28/10/2021 11:46:45 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-2    ||  WAITING
28/10/2021 11:46:46 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-1    ||  WAITING
28/10/2021 11:46:46 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-2    ||  WAITING
28/10/2021 11:46:46 SENDER-1    ||  WAITING
28/10/2021 11:46:46 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-1    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-2    ||  COLLISION OCCURED
28/10/2021 11:46:46 SENDER-1    ||  COLLISION OCCURED
